S	SGEHEAPRUNMARKER	20	game
F	8	2	interval
F	10	2	dummy
S	playermodelinfo	76	game
F	0	4	ptype
F	4	4	color
F	8	4	level
F	12	4	hidden
F	16	4	modelidx
F	20	4	atreeidx
F	24	4	maxmodelsize
F	28	4	maxanimsize
F	32	4	maxtexturesize
F	36	4	atreelist
F	40	4	maxgeoanimsize
F	44	4	geoatreeidx
F	48	4	geoatreelist
F	52	4	sfxmodelidx
F	56	4	sfxatreeidx
F	60	4	sfxmaxmodelsize
F	64	4	sfxmaxanimsize
F	68	4	sfxmaxtexturesize
F	72	4	sfxatreelist
S	smmodel_t	264	game
F	0	32	name
F	32	96	physics
F	128	4	scale
F	132	4	speed
F	136	4	dir
F	140	4	aiNum
F	144	4	nWay
F	148	4	pWay
F	152	4	pEnemy
F	156	4	anim
F	160	1	fPlayAnimBackwards
F	161	3	__align0
F	164	4	animStartTime
F	168	4	animFlags
F	172	4	prevAnim
F	176	4	animSpeed
F	180	24	groundTriIntersection
F	204	4	pGroundTriIntersection
F	208	1	fSlerping
F	209	3	__align1
F	212	4	slerpStartTime
F	216	4	slerpEndTime
F	220	4	slerpPrevAnim
F	224	4	pModel
F	228	1	fLoaded
F	229	3	__align2
F	232	4	flags
F	236	4	pExtra
F	240	12	ambientColor
F	252	12	startPos
S	smphysics_t	96	game
F	0	12	pos
F	12	12	prevPos
F	24	12	vel
F	36	4	yaw
F	40	4	pitch
F	44	4	flags
F	48	48	matrix
S	smwaypoint_t	16	game
F	0	12	pos
F	12	4	flags
S	smtexel_t	16	game
F	0	4	r
F	4	4	g
F	8	4	b
F	12	1	fWithin
S	smintersection_t	24	game
F	0	4	dist
F	4	12	p
F	16	4	pPlacement
F	20	4	triNum
S	IDirectXFileObjectVtbl	20	misc
S	__unnamed_150	8	misc
F	0	4	Offset
F	4	4	Length
S	__unnamed_151	8	misc
F	0	4	BA
F	4	4	Len
S	__unnamed_154	16	misc
F	0	4	hMem
F	4	12	dwReserved
S	__unnamed_155	16	misc
F	0	4	dwCommittedSize
F	4	4	dwUnCommittedSize
F	8	4	lpFirstBlock
F	12	4	lpLastBlock
S	_Wx86TIB	64	misc
F	0	4	Size
F	4	4	InitialPc
F	8	4	StackBase
F	12	4	StackLimit
F	16	4	DeallocationStack
F	20	4	LogFlags
F	24	4	InitialSp
F	28	1	SimulationCount
F	29	1	InCpuSimulation
F	30	1	EmulateInitialPc
F	31	1	Initialized
F	32	4	ExceptionList
F	36	4	CpuContext
F	40	4	InitialExceptionContext
F	44	4	pCallersRIID
F	48	4	pCallersUnknown
F	52	4	Flags
F	56	4	SelfRegDllName
F	60	4	SelfRegDllHandle
S	_EXCEPTION_RECORD	80	misc
F	0	4	ExceptionCode
F	4	4	ExceptionFlags
F	8	4	ExceptionRecord
F	12	4	ExceptionAddress
F	16	4	NumberParameters
F	20	60	ExceptionInformation
S	__unnamed_168	24	misc
F	0	4	Length
F	4	4	Alignment
F	8	8	MinimumAddress
F	16	8	MaximumAddress
S	__unnamed_169	8	misc
F	0	4	MinimumVector
F	4	4	MaximumVector
S	__unnamed_170	8	misc
F	0	4	MinimumChannel
F	4	4	MaximumChannel
S	__unnamed_171	12	misc
F	0	12	Data
S	__unnamed_172	16	misc
F	0	4	Length
F	4	4	MinBusNumber
F	8	4	MaxBusNumber
F	12	4	Reserved
S	__unnamed_173	4	misc
F	0	4	AssignedResource
S	__unnamed_174	16	misc
F	0	1	Type
F	1	3	Reserved
F	4	4	AssignedResource
F	8	8	Transformation
S	__unnamed_175	12	misc
F	0	4	Priority
F	4	4	Reserved1
F	8	4	Reserved2
S	__unnamed_176	24	misc
F	0	24	Port
F	0	24	Memory
F	0	8	Interrupt
F	0	8	Dma
F	0	24	Generic
F	0	12	DevicePrivate
F	0	16	BusNumber
F	0	4	AssignedResource
F	0	16	SubAllocateFrom
F	0	12	ConfigData
S	fd_set	260	misc
F	0	4	fd_count
